                17                        9
2.55	9.82	4.00	2.18	4.36	10.91	0.36	8.36	12.73
2.36	9.45	10.73	12.18	0.55	13.27	0.91	5.09	9.64
5.09	2.18	12.91	5.82	8.18	4.18	11.64	12.91	13.64
6.55	10.18	8.91	10.91	5.82	6.36	2.00	1.27	8.91
6.00	13.64	6.00	8.18	2.18	8.18	9.82	12.36	4.73
9.09	9.09	2.36	3.82	12.55	6.73	11.45	13.64	4.55
7.09	8.73	0.36	2.73	10.00	8.55	6.73	8.18	2.73
2.18	8.73	2.73	10.18	10.73	9.64	2.73	6.73	4.91
8.00	0.55	12.36	12.18	5.64	1.09	9.27	8.36	5.82
13.64	11.82	2.18	11.82	13.27	5.82	0.18	12.55	2.73
6.18	10.00	10.73	8.73	12.91	9.27	10.36	2.18	10.55
7.64	5.45	11.27	3.27	1.82	9.27	4.36	5.82	10.73
12.00	5.82	13.09	6.18	4.18	0.91	3.82	11.64	12.00
11.82	12.36	8.91	11.64	4.36	7.27	9.27	9.27	1.09
4.18	5.27	8.00	4.18	12.55	2.91	10.00	2.91	13.64
6.36	10.18	2.00	5.45	8.00	10.73	11.64	2.91	12.00
0.55	4.00	3.82	4.00	5.64	12.36	0.18	8.36	12.73
